cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2025-01-01,category,"otc hl, otc sk",0,same,revenue,1,236.5122616
purchase,2025-01-01,category,"otc hl, otc sk",0,same,gm,1,89.33068120632
purchase,2025-01-01,category,"otc hl, otc sk",1,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",1,same,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",2,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",2,same,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",3,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",3,same,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",4,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",4,same,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",5,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",5,same,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",6,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",6,same,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",7,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",7,same,gm,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",8,same,revenue,1,0.0
purchase,2025-01-01,category,"otc hl, otc sk",8,same,gm,1,0.0
purchase,2025-01-01,category,otc sh,0,any,revenue,1,76.29427793
purchase,2025-01-01,category,otc sh,0,any,gm,1,32.40217983687101
purchase,2025-01-01,category,otc sh,1,any,revenue,1,0.0
purchase,2025-01-01,category,otc sh,1,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,2,any,revenue,1,0.0
purchase,2025-01-01,category,otc sh,2,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,3,any,revenue,1,0.0
purchase,2025-01-01,category,otc sh,3,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,4,any,revenue,1,0.0
purchase,2025-01-01,category,otc sh,4,any,gm,1,0.0
purchase,2025-01-01,category,otc sh,5,any,revenue,1,0.0
